"","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14"
"Simulans 395",-96.7133389999834,29.8608749991442,0,3.92064666748047,-0.522889316082001,-0.455424308776855,0.111593954265118,0.146235749125481,-0.275843143463135,0.093456764692179,0.0363957130443615,-0.362851575842751,0.00656632104289334,0.0990075535009836,-0.0162106793553928,-0.0641558579218809,0.00471984047922118,-0.0233197116135175,-0.00558847342286772,0.294450711783715,0.191912208510342,-0.0193029792093261,0.0205327911898896
"Simulans 396",-96.8974589999825,29.8856079991439,0,3.59863424301147,-0.19973748922348,-0.238372445106506,0.271264016628265,-0.154843643307686,-0.0441496595740318,0.0934460094485003,0.0364431233817388,-0.363809552905359,0.00703108718964715,0.0990761254996821,-0.0162923952883087,-0.0636447037638045,0.00495650109841616,-0.0246386822203073,-0.00558624916868872,0.288636275264055,0.18854078870403,-0.018974083688034,0.0237422648547944
"Simulans 398",-98.1558999999764,30.2689799991373,0,-0.525597333908081,-0.922186672687531,-0.0865008682012558,0.971810817718506,-2.19050025939941,0.0222288183867931,-0.156987041443664,-0.00655126473495179,0.0692610285915955,-0.119624293759987,0.0885118452142189,-0.0359877417362113,0.0217861849969018,0.00753016173332,-0.0906340433879477,-0.0683908562431964,0.106724252838044,-0.0987073033911343,0.000568369371195435,-0.0499862323758825
"Simulans 399",-98.1476209999763,30.3209919991363,0,0.557088732719421,-0.181905463337898,-0.166915163397789,-0.339666128158569,-0.376402795314789,-0.0775454193353653,-0.155954205911711,-0.00773275507302143,0.0694907927015653,-0.092918402617315,0.0674935298257359,-0.0125185116736899,-0.161877143168233,0.00232758977492358,-0.103988590701719,-0.0520653501559965,-0.0441810881698409,0.107299391147956,-0.0017266646722307,0.0292427475903757
"Simulans 403",-98.1478449999763,30.3548159991356,0,0.440187335014343,0.0800321623682976,0.049132663756609,0.147980138659477,0.193629071116447,-0.102755151689053,-0.150171928491039,-0.0114480396791596,0.0676675951344091,-0.118446433510674,0.0533025352741682,0.0842835524603252,-0.168102958855569,0.0528722258196898,-0.100533169530181,0.284628646746079,-0.0209988589040959,0.0113493481632811,-0.00861188938797762,0.024022337606968
"Simulans 408",-98.1652589999764,30.2276539991382,0,-0.0278672128915787,-0.837535381317139,-0.622188091278076,0.363798201084137,-1.55706512928009,-0.00655106129124761,-0.157091979091807,-0.00654784516054039,0.0690826951208852,-0.11944503658928,0.0884689769578165,-0.0363011218069786,0.0251648143277627,0.00777893178069881,-0.0918380662433842,-0.0680048396273956,0.106803726718997,-0.0991027998744983,0.000595925159034263,-0.0497627955083497
"Simulans 409",-98.1559039999764,30.2689789991373,0,-0.525597333908081,-0.922186672687531,-0.0865008682012558,0.971810817718506,-2.19050025939941,0.0222288183867931,-0.156987008147185,-0.00655125942205559,0.0692610427958906,-0.119624428954528,0.0885119462950259,-0.0359877777585106,0.0217862841605264,0.00753018679757441,-0.0906342391866199,-0.0683908594864779,0.106724328421744,-0.0987073202379871,0.000568375728253701,-0.0499863587537815
"Simulans 410",-98.1727419999764,30.2353659991381,0,-0.982448101043701,-1.0004369020462,0.0694233179092407,2.48675274848938,-1.69019436836243,-0.030561925843358,-0.156984597292596,-0.00653567707966439,0.0691612394501519,-0.119819833337768,0.0887267770301344,-0.0363121920275923,0.0245768256122986,0.00777908530957374,-0.0920210339540652,-0.0681076149780418,0.106969075388902,-0.0990467050830577,0.000604727035939862,-0.0501269160403686
"Simulans 411",-97.9398449999775,30.1980459991386,0,0.355070501565933,-0.779193341732025,0.0312554240226746,0.718954980373383,-1.61529731750488,-0.0391841568052769,-0.160031369301073,-0.0112607696724994,0.0469068300191338,0.0678727124731165,-0.0599767555542032,0.0172201433330236,-0.0561370095386714,-0.0120031964381877,0.0580192705887901,0.00978010038156404,0.0392570142556423,0.163343292962449,-0.00584189169493821,-0.0614466903144994
"Simulans 415",-98.102257999977,30.0590279991416,0,0.35578989982605,-0.890187084674835,-0.217668756842613,0.776945650577545,-2.11781477928162,0.0380456708371639,-0.159847603119474,-0.00989924711110551,0.0466377778229366,0.0382252212450975,-0.0367506782734215,-0.007719478908618,0.137727832229143,-0.00574429575875965,0.0649710090925363,-0.00551118908554501,0.195050048567097,-0.044488679992795,-0.00327914615957996,-0.146649855455817
